Address,Name,Size,Length,SCR,Description,Category,Docs
00665100,Orders.dat - Unknown 7,1,189,Simple Data,,Order,Type
006651C0,Orders.dat - Unknown 9,1,189,Simple Data,,Order,Type
00665280,Orders.dat - Label ID,2,189,Simple Data,Doesn't do anything.,Order,Core
00665400,Orders.dat - Obscured Order,1,189,Simple Data,"Orders.dat index ""Order to be run if the target is ob...",Order,Type
006654C0,Orders.dat - Can Be Obstructed?,1,189,Simple Data,,Order,Control
00665580,Orders.dat - Dat Reqs Offset,2,189,Simple Data,,Order,Core
00665700,Orders.dat - Can Be Queued,1,189,Simple Data,,Order,Queue
006657C0,Orders.dat - Unknown 5,1,189,Simple Data,,Order,Type
00665880,Orders.dat - Targeting,1,189,Simple Data,"Weapons.dat index ""Weapon used by the order to determ...",Order,Type
00665940,Orders.dat - Order is Secondary,1,189,Simple Data,Order goes in bSecondaryOrderID instead of bMainOrderID.,Order,Type
00665A00,Orders.dat - Unknown 3,1,189,Simple Data,,Order,Type
